player,team,yahoo,espn,fantrax,average
Ryan Dunn,PHO,,140.0,176.4,158.2
Ryan Kalkbrenner,CHA,,139.9,149.3,144.6
Ryan Rollins,MIL,,140.0,379.4,259.7
Saddiq Bey,NO,,140.0,1253.8,696.9
Sam Hauser,BOS,135.0,139.9,248.8,174.6
Sam Merrill,CLE,,139.9,1266.8,703.4
Sandro Mamukelashvili,TOR,,140.0,1280.8,710.4
Santi Aldama,MEM,136.0,134.6,131.4,134.0
Scoot Henderson,POR,99.5,137.8,105.3,114.2
Scottie Barnes,TOR,28.0,26.7,24.6,26.4
Scotty Pippen Jr.,MEM,,137.7,144.9,141.3
Seth Curry,FA,,156.0,,156.0
Shaedon Sharpe,POR,106.3,135.7,96.1,112.7
Shai Gilgeous-Alexander,OKC,3.7,2.7,2.5,3.0
Simone Fontecchio,MIA,202.0,,,202.0
Spencer Dinwiddie,CHA,,139.9,1278.8,709.4
Stephen Curry,GS,26.3,14.5,14.3,18.4
Stephon Castle,SA,73.0,124.2,106.4,101.2
Steven Adams,HOU,,139.7,1242.8,691.3
T.J. McConnell,IND,144.0,138.4,142.6,141.7
Tacko Fall,FA,,188.0,,188.0
Tari Eason,HOU,141.3,138.1,103.3,127.6
Taurean Prince,MIL,,140.0,1245.8,692.9
Taylor Hendricks,UTA,,140.0,144.1,142.1
Terance Mann,BKN,,139.8,1265.8,702.8
Terrence Shannon Jr.,MIN,,139.8,1215.8,677.8
Terry Rozier,MIA,,140.0,1273.8,706.9
Thaddeus Young,FA,,173.0,,173.0
Thanasis Antetokounmpo,FA,,159.0,,159.0
Thomas Bryant,FA,,140.0,1302.8,721.4
Tim Hardaway Jr.,DEN,129.0,139.7,1231.8,500.2
Tobias Harris,DET,122.3,108.6,108.5,113.1
Toumani Camara,POR,109.7,132.7,101.6,114.7
Trae Young,ATL,12.3,15.7,10.9,13.0
Trayce Jackson-Davis,GS,,139.8,407.2,273.5
Tre Johnson,WAS,,139.0,299.8,219.4
Tre Jones,CHI,,139.8,379.7,259.8
Tre Mann,CHA,,139.9,1202.8,671.4
Trendon Watford,PHI,,140.0,1270.8,705.4
Trey Murphy III,NO,41.7,76.9,50.4,56.3
Tristan Da Silva,ORL,,139.8,1299.8,719.8
Tristan Vukcevic,WAS,105.0,140.0,,122.5
Tristan da Silva,ORL,,167.0,,167.0
Ty Jerome,MEM,,140.0,151.3,145.7
Tyler Herro,MIA,49.0,36.8,38.0,41.3
Tyler Kolek,NYK,,182.0,,182.0
Tyrese Haliburton,IND,7.0,7.0,,7.0
Tyrese Maxey,PHI,16.0,18.8,20.1,18.3
Tyus Jones,ORL,,137.0,142.5,139.8
VJ Edgecombe,PHI,141.0,131.3,150.3,140.9
Victor Wembanyama,SA,2.3,4.1,2.9,3.1
Vince Williams Jr.,MEM,,140.0,1214.8,677.4
Vít Krejcí,ATL,,140.0,1294.8,717.4
